ID,名前,肩書き,シリーズ番号,シリーズ,手持ち1,手持ち2,手持ち3,手持ち4,手持ち5,手持ち6,画像ファイル,くれるもの,地方,会える場所,表示順,タイプ,アニメ登場回
54,アキラ,たんパンこぞう,2,金・銀,ポッポ,コラッタ,,,,,02_tanpan.PNG,64円,ジョウト地方,30ばんどうろ,4,,
55,シンゴ,たんパンこぞう,2,金・銀,コラッタ,ズバット,,,,,02_tanpan.PNG,128円,ジョウト地方,32ばんどうろ,4,,
56,マサタカ,たんパンこぞう,2,金・銀,ウパー,,,,,,02_tanpan.PNG,160円,ジョウト地方,32ばんどうろ,4,,
57,コウタ,たんパンこぞう,2,金・銀,コラッタ,サンド,オニスズメ,オニスズメ,,,02_tanpan.PNG,128円,ジョウト地方,34ばんどうろ,4,,
58,ショウヘイ,たんパンこぞう,2,金・銀,マンキー,ディグダ,,,,,02_tanpan.PNG,192円,ジョウト地方,34ばんどうろ,4,,
59,トシヒコ,たんパンこぞう,2,金・銀,サンドパン,クロバット,,,,,02_tanpan.PNG,528円,ジョウト地方,11ばんどうろ,4,,
60,ヒロユキ,たんパンこぞう,2,金・銀,ガーディ,,,,,,02_tanpan.PNG,560円,ジョウト地方,11ばんどうろ,4,,
61,ヒロノブ,たんパンこぞう,2,金・銀,オニドリル,,,,,,02_tanpan.PNG,560円,ジョウト地方,3ばんどうろ,4,,
62,ケンタ,たんパンこぞう,2,金・銀,ラッタ,アーボック,,,,,02_tanpan.PNG,528円,ジョウト地方,3ばんどうろ,4,,
63,ミキヤス,むしとり,2,金・銀,キャタピー,キャタピー,,,,,02_mushitori.PNG,48円,ジョウト地方,30ばんどうろ,4,,
64,コウイチ,むしとり,2,金・銀,キャタピー（トランセル、バタフリー）,キャタピー（トランセル、バタフリー）,ビードル（コクーン、スピアー）,キャタピー（トランセル、バタフリー）,,,02_mushitori.PNG,32円、144円、224円,ジョウト地方,31ばんどうろ,4,,
65,ノリユキ,むしとり,2,金・銀,ビードル,キャタピー,,,,,02_mushitori.PNG,192円,ジョウト地方,ヒワダジム,4,,
66,サダオ,むしとり,2,金・銀,ビードル,コクーン,スピアー,,,,02_mushitori.PNG,192円,ジョウト地方,ヒワダジム,4,,
67,トモミチ,むしとり,2,金・銀,パラス,,,,,,02_mushitori.PNG,208円,ジョウト地方,ヒワダジム,4,,
68,ケンイチ,むしとり,2b,クリスタル,レディバ,パラス,,,,,02_mushitori.PNG,160円,ジョウト地方,ウバメのもり,5,,
69,ヨウタ,むしとり,2,金・銀,コンパン（モルフォン）,,,,,,02_mushitori.PNG,240円、304円、448円,ジョウト地方,35ばんどうろ,4,,
70,タケオ,むしとり,2,金・銀,アリアドス,カイロス,,,,,02_mushitori.PNG,512円,ジョウト地方,アクア号,4,,
71,ヨウジ,むしとり,2,金・銀,スピアー,スピアー,スピアー,,,,02_mushitori.PNG,480円,ジョウト地方,2ばんどうろ,4,,
72,ミチヒコ,むしとり,2,金・銀,アリアドス,,,,,,02_mushitori.PNG,544円,ジョウト地方,2ばんどうろ,4,,
73,カズヒコ,むしとり,2,金・銀,スピアー,バタフリー,,,,,02_mushitori.PNG,512円,ジョウト地方,2ばんどうろ,4,,
74,タエコ,イタコ,2,金・銀,ゴースト,ゴースト,,,,,02_itako.png,800円,ジョウト地方,エンジュジム,4,,
75,ヨネコ,イタコ,2,金・銀,ゴース,ゴース,ゴースト,,,,02_itako.png,800円,ジョウト地方,エンジュジム,4,,
76,トミコ,イタコ,2,金・銀,スリープ,スリーパー,,,,,02_itako.png,1400円,ジョウト地方,ヤマブキジム,4,,
77,ケサコ,イタコ,2,金・銀,ヤドン,ヤドラン,,,,,02_itako.png,1440円,ジョウト地方,ヤマブキジム,4,,
78,スズコ,イタコ,2c,ハートゴールド・ソウルシルバー,ゴース,ゴース,ゴース,ゴース,ゴース,,02_itako.png,768円,ジョウト地方,エンジュジム,11,,
79,ウメコ,イタコ,2c,ハートゴールド・ソウルシルバー,ゴースト,,,,,,02_itako.png,1056円,ジョウト地方,エンジュジム,11,,
80,トミコ,イタコ,2c,ハートゴールド・ソウルシルバー,ドーミラー,スリーパー,,,,,02_itako.png,2160円,ジョウト地方,ヤマブキジム,11,,
81,モクネン,ぼうず,2,金・銀,マダツボミ,マダツボミ,マダツボミ,,,,02_bouzu.PNG,96円,ジョウト地方,マダツボミのとう,4,,
82,チンネン,ぼうず,2,金・銀,マダツボミ,マダツボミ,マダツボミ,,,,02_bouzu.PNG,96円,ジョウト地方,マダツボミのとう,4,,
83,エイソウ,ぼうず,2,金・銀,マダツボミ,マダツボミ,マダツボミ,,,,02_bouzu.PNG,96円,ジョウト地方,マダツボミのとう,4,,
84,ソウネン,ぼうず,2,金・銀,マダツボミ,,,,,,02_bouzu.PNG,192円,ジョウト地方,マダツボミのとう,4,,
85,カクネン,ぼうず,2,金・銀,マダツボミ,,,,,,02_bouzu.PNG,192円,ジョウト地方,マダツボミのとう,4,,
86,カイネン,ぼうず,2,金・銀,マダツボミ,ホーホー,,,,,02_bouzu.PNG,224円,ジョウト地方,マダツボミのとう,4,,
87,コウセイ,ぼうず,2,金・銀,マダツボミ,マダツボミ,ホーホー,,,,02_bouzu.PNG,320円,ジョウト地方,マダツボミのとう,4,,
88,ジエイ,ぼうず,2,金・銀,ゴース,ゴース,ゴース,ゴース,ゴース,,02_bouzu.PNG,512円,ジョウト地方,エンジュジム,4,,
89,ウンショウ,ぼうず,2,金・銀,ゴースト,,,,,,02_bouzu.PNG,704円,ジョウト地方,エンジュジム,4,,
90,モウカイ,ぼうず,2b,クリスタル,ヨルノズク,ブースター,,,,,02_bouzu.PNG,1024円,ジョウト地方,スズのとう,5,,
91,タイソウ,ぼうず,2b,クリスタル,ヨルノズク,サンダース,,,,,02_bouzu.PNG,1024円,ジョウト地方,スズのとう,5,,
92,エイセン,ぼうず,2b,クリスタル,ヨルノズク,シャワーズ,,,,,02_bouzu.PNG,1024円,ジョウト地方,スズのとう,5,,
93,ショウタ,とりつかい,2,金・銀,オニスズメ,,,,,,02_toritsukai.PNG,216円,ジョウト地方,キキョウジム,4,,
94,ツバサ,とりつかい,2,金・銀,ポッポ,ポッポ,,,,,02_toritsukai.PNG,168円,ジョウト地方,キキョウジム,4,,
95,ノブマサ,とりつかい,2,金・銀,ポッポ,ポッポ,オニスズメ,,,,02_toritsukai.PNG,192円,ジョウト地方,32ばんどうろ,4,,
96,ヨシキ,とりつかい,2,金・銀,ポッポ,ピジョン,,,,,02_toritsukai.PNG,336円,ジョウト地方,35ばんどうろ,4,,
97,ハルキ,とりつかい,2,金・銀,ドードー,ドードー,ドードー,,,,02_toritsukai.PNG,408円,ジョウト地方,38ばんどうろ,4,,
98,クニヒコ,とりつかい,2,金・銀,ポッポ,ポッポ,ポッポ,ポッポ,ポッポ,,02_toritsukai.PNG,360円,ジョウト地方,アサギのとうだい,4,,
99,アキノリ,とりつかい,2,金・銀,オニスズメ,オニスズメ,オニドリル,,,,02_toritsukai.PNG,432円,ジョウト地方,アサギのとうだい,4,,
100,モトヒロ,とりつかい,2,金・銀,ピジョン,ピジョン（ピジョット）,,,,,02_toritsukai.PNG,600円、792円、888円,ジョウト地方,44ばんどうろ,4,,
101,エイジ,とりつかい,2,金・銀,カモネギ,,,,,,02_toritsukai.PNG,840円、888円、984円,ジョウト地方,27ばんどうろ,4,,
102,ノボル,とりつかい,2,金・銀,ピジョン,オニドリル,,,,,02_toritsukai.PNG,768円,ジョウト地方,13ばんどうろ,4,,
103,ノリアキ,とりつかい,2,金・銀,カモネギ,,,,,,02_toritsukai.PNG,816円,ジョウト地方,13ばんどうろ,4,,
104,ハヤオ,とりつかい,2,金・銀,オニドリル,オニドリル,,,,,02_toritsukai.PNG,840円,ジョウト地方,14ばんどうろ,4,,
105,エイゴ,とりつかい,2,金・銀,ヨルノズク,,,,,,02_toritsukai.PNG,816円,ジョウト地方,18ばんどうろ,4,,
106,ショウイチ,とりつかい,2,金・銀,ドードー,ドードリオ,ドードー,,,,02_toritsukai.PNG,768円,ジョウト地方,18ばんどうろ,4,,
107,ソラオ,とりつかい,2,金・銀,ポッポ,ピジョット,,,,,02_toritsukai.PNG,816円,ジョウト地方,4ばんどうろ,4,,
108,ケイジ,とりつかい,2c,ハートゴールド・ソウルシルバー,ネイティオ,ヨルノズク,,,,,02_toritsukai.PNG,1248円,ジョウト地方,12ばんどうろ,11,,
109,ツネミ,とりつかい,2c,ハートゴールド・ソウルシルバー,オニドリル,オニスズメ,,,,,02_toritsukai.PNG,1248円,ジョウト地方,12ばんどうろ,11,,
110,カズマサ,とりつかい,2c,ハートゴールド・ソウルシルバー,オニドリル,エアームド,,,,,02_toritsukai.PNG,1184円、1408円、1632円、1760円,ジョウト地方,14ばんどうろ,11,,
111,マスミツ,とりつかい,2c,ハートゴールド・ソウルシルバー,キャモメ,オニドリル,,,,,02_toritsukai.PNG,1376円,ジョウト地方,20ばんすいどう,11,,
112,ヤジロウ,とりつかい,2c,ハートゴールド・ソウルシルバー,ムックル,,,,,,02_toritsukai.PNG,1536円,ジョウト地方,20ばんすいどう,11,,
113,セイブン,とりつかい,2c,ハートゴールド・ソウルシルバー,カモネギ,オニドリル,ピジョン,,,,02_toritsukai.PNG,1184円,ジョウト地方,21ばんすいどう,11,,
114,ミキジ,とりつかい,2c,ハートゴールド・ソウルシルバー,ドードー,ドードー,ドードリオ,ドードリオ,,,02_toritsukai.PNG,1152円,ジョウト地方,21ばんすいどう,11,,
115,タカヒロ,キャンプボーイ,2,金・銀,ニドラン♂,,,,,,02_campboy.PNG,180円,ジョウト地方,32ばんどうろ,4,,
116,ヨウイチ,キャンプボーイ,2,金・銀,イシツブテ（ゴローン）,イシツブテ（ゴローン）,コダック（ゴルダック）,マグマッグ,,,02_campboy.PNG,280円、460円、520円,ジョウト地方,34ばんどうろ,4,,
117,アキヒロ,キャンプボーイ,2,金・銀,サンド,マリル,,,,,02_campboy.PNG,300円,ジョウト地方,35ばんどうろ,4,,
118,カズヤ,キャンプボーイ,2,金・銀,ディグダ,ズバット,ディグダ,,,,02_campboy.PNG,280円,ジョウト地方,35ばんどうろ,4,,
119,ソウイチ,キャンプボーイ,2,金・銀,マンキー,,,,,,02_campboy.PNG,340円,ジョウト地方,46ばんどうろ,4,,
120,タイチ,キャンプボーイ,2,金・銀,サンド,サンドパン,ズバット,,,,02_campboy.PNG,380円,ジョウト地方,43ばんどうろ,4,,
121,リョウヘイ,キャンプボーイ,2b,クリスタル,オニドリル,オコリザル,ケンタロス,,,,02_campboy.PNG,600円,ジョウト地方,45ばんどうろ,5,,
122,ヤスキ,キャンプボーイ,2,金・銀,ニドキング,,,,,,02_campboy.PNG,680円,ジョウト地方,25ばんどうろ,4,,
123,リョウスケ,キャンプボーイ,2,金・銀,ダグトリオ,ニョロボン,オコリザル,,,,02_campboy.PNG,580円,ジョウト地方,9ばんどうろ,4,,
124,ユウト,キャンプボーイ,2,金・銀,ゴルダック,サンドパン,,,,,02_campboy.PNG,620円,ジョウト地方,9ばんどうろ,4,,
125,ユウイチ,キャンプボーイ,2,金・銀,ニドキング,,,,,,02_campboy.PNG,720円,ジョウト地方,セキチクジム,4,,
126,キヨシ,キャンプボーイ,2,金・銀,サンドパン,,,,,,02_campboy.PNG,740円,ジョウト地方,ニビジム,4,,
127,ヨウラン,キャンプボーイ,2c,ハートゴールド・ソウルシルバー,ポポッコ,マリル,,,,,02_campboy.PNG,336円,ジョウト地方,47ばんどうろ,11,,
128,シンキ,キャンプボーイ,2c,ハートゴールド・ソウルシルバー,ナマケロ,,,,,,02_campboy.PNG,688円,ジョウト地方,6ばんどうろ,11,,
129,タモン,キャンプボーイ,2c,ハートゴールド・ソウルシルバー,ウソッキー,チョンチー（ランターン）,ポポッコ（ワタッコ）,,,,02_campboy.PNG,608円、656円、704円、832円,ジョウト地方,13ばんどうろ,11,,
130,モリミチ,キャンプボーイ,2c,ハートゴールド・ソウルシルバー,ブイゼル,,,,,,02_campboy.PNG,640円,ジョウト地方,13ばんどうろ,11,,
131,シンヤ,キャンプボーイ,2c,ハートゴールド・ソウルシルバー,マッスグマ,,,,,,02_campboy.PNG,720円,ジョウト地方,20ばんどうろ,11,,
132,キヨシ,キャンプボーイ,2c,ハートゴールド・ソウルシルバー,サイドン,,,,,,02_campboy.PNG,800円,ジョウト地方,ニビジム,11,,
133,カオリ,ピクニックガール,2,金・銀,ウツドン,ニドリーノ,ニドラン♀（ニドリーナ、ニドクイン）,,,,02_picnicgirl.PNG,180円、300円、420円,ジョウト地方,32ばんどうろ,4,,
134,ミズホ,ピクニックガール,2,金・銀,ハネッコ（ポポッコ）,ハネッコ（ポポッコ）,フシギダネ（フシギソウ）,,,,02_picnicgirl.PNG,240円、340円、580円,ジョウト地方,34ばんどうろ,4,,
135,カナミ,ピクニックガール,2,金・銀,ロコン,,,,,,02_picnicgirl.PNG,300円,ジョウト地方,35ばんどうろ,4,,
136,イクエ,ピクニックガール,2,金・銀,ピカチュウ,,,,,,02_picnicgirl.PNG,320円,ジョウト地方,35ばんどうろ,4,,
137,エミ,ピクニックガール,2,金・銀,ポニータ,ポニータ,,,,,02_picnicgirl.PNG,320円、640円、720円,ジョウト地方,46ばんどうろ,4,,
138,チサト,ピクニックガール,2,金・銀,ピッピ,,,,,,02_picnicgirl.PNG,400円、620円、740円,ジョウト地方,43ばんどうろ,4,,
139,マナミ,ピクニックガール,2,金・銀,アズマオウ,,,,,,02_picnicgirl.PNG,660円,ジョウト地方,アクアごう,4,,
140,キミエ,ピクニックガール,2,金・銀,ニドリーナ,ライチュウ,,,,,02_picnicgirl.PNG,680円,ジョウト地方,9ばんどうろ,4,,
141,リカコ,ピクニックガール,2,金・銀,ポポッコ,ポポッコ,,,,,02_picnicgirl.PNG,640円,ジョウト地方,9ばんどうろ,4,,
142,ユキコ,ピクニックガール,2,金・銀,ナッシー,,,,,,02_picnicgirl.PNG,740円,ジョウト地方,タマムシジム,4,,
143,サトミ,ピクニックガール,2,金・銀,ニドクイン,,,,,,02_picnicgirl.PNG,720円,ジョウト地方,セキチクジム,4,,
144,チナミ,ピクニックガール,2,金・銀,モココ,,,,,,02_picnicgirl.PNG,680円,ジョウト地方,4ばんどうろ,4,,
145,ミナコ,ピクニックガール,2,金・銀,オオタチ,ギャロップ,,,,,02_picnicgirl.PNG,660円,ジョウト地方,4ばんどうろ,4,,
146,カオリ,ピクニックガール,2b,クリスタル,ウツドン,ニドキング,ニドクイン,,,,02_picnicgirl.PNG,640円,ジョウト地方,32ばんどうろ,5,,
147,ミズホ,ピクニックガール,2b,クリスタル,ワタッコ,ワタッコ,フシギバナ,,,,02_picnicgirl.PNG,760円,ジョウト地方,34ばんどうろ,5,,
148,ルイコ,ピクニックガール,2c,ハートゴールド・ソウルシルバー,バネブー,,,,,,02_picnicgirl.PNG,640円,ジョウト地方,13ばんどうろ,11,,
149,ハルノ,ピクニックガール,2c,ハートゴールド・ソウルシルバー,ゴニョニョ,,,,,,02_picnicgirl.PNG,656円,ジョウト地方,13ばんどうろ,11,,
150,アルミ,ピクニックガール,2c,ハートゴールド・ソウルシルバー,チェリンボ,,,,,,02_picnicgirl.PNG,672円,ジョウト地方,6ばんどうろ,11,,
151,アサミ,ピクニックガール,2c,ハートゴールド・ソウルシルバー,コリンク,,,,,,02_picnicgirl.PNG,720円,ジョウト地方,20ばんすいどう,11,,
152,ナナカ,ピクニックガール,2c,ハートゴールド・ソウルシルバー,キノココ,,,,,,02_picnicgirl.PNG,720円,ジョウト地方,20ばんすいどう,11,,
153,タクロウ,つりびと,2,金・銀,ニョロモ,ニョロモ,,,,,02_tsuribito.PNG,320円,ジョウト地方,32ばんどうろ,4,,
154,ヒサシ,つりびと,2,金・銀,コイキング,コイキング,コイキング,コイキング,,,02_tsuribito.PNG,200円,ジョウト地方,32ばんどうろ,4,,
155,ヤスアキ,つりびと,2,金・銀,ハリーセン,トサキント,,,,,02_tsuribito.PNG,400円、680円、760円,ジョウト地方,32ばんどうろ,4,,
156,ミノル,つりびと,2,金・銀,トサキント,トサキント,ハリーセン,,,,02_tsuribito.PNG,720円、920円、1360円,ジョウト地方,42ばんどうろ,4,,
157,ヨシヒト,つりびと,2,金・銀,コイキング,ギャラドス,コイキング,ギャラドス,,,02_tsuribito.PNG,600円,ジョウト地方,43ばんどうろ,4,,
158,ケイゾウ,つりびと,2,金・銀,コイキング,コイキング,コイキング,コイキング,,,02_tsuribito.PNG,880円,ジョウト地方,いかりのみずうみ,4,,
159,ショウジ,つりびと,2,金・銀,ギャラドス,,,,,,02_tsuribito.PNG,1080円,ジョウト地方,いかりのみずうみ,4,,
160,シュウヘイ,つりびと,2,金・銀,テッポウオ,テッポウオ,,,,,02_tsuribito.PNG,1000円,ジョウト地方,44ばんどうろ,4,,
161,ヒデノリ,つりびと,2,金・銀,トサキント,トサキント,アズマオウ,,,,02_tsuribito.PNG,1000円、1280円、1400円,ジョウト地方,44ばんどうろ,4,,
162,タカヨシ,つりびと,2,金・銀,ハリーセン,ハリーセン,アズマオウ,,,,02_tsuribito.PNG,1360円,ジョウト地方,26ばんどうろ,4,,
163,ダイスケ,つりびと,2,金・銀,シェルダー,オクタン,テッポウオ,パルシェン,,,02_tsuribito.PNG,1160円,ジョウト地方,アクアごう,4,,
164,ナオフミ,つりびと,2,金・銀,アズマオウ,ニョロゾ,アズマオウ,,,,02_tsuribito.PNG,1240円,ジョウト地方,12ばんどうろ,4,,
165,ソウスケ,つりびと,2,金・銀,テッポウオ,テッポウオ,,,,,02_tsuribito.PNG,1280円,ジョウト地方,12ばんどうろ,4,,
166,トモヒト,つりびと,2,金・銀,コイキング,コイキング,ハリーセン,ドククラゲ,,,02_tsuribito.PNG,1240円,ジョウト地方,12ばんどうろ,4,,
167,エイイチ,つりびと,2,金・銀,ギャラドス,ギャラドス,ギャラドス,,,,02_tsuribito.PNG,1200円,ジョウト地方,12ばんどうろ,4,,
168,テツハル,つりびと,2,金・銀,ドククラゲ,,,,,,02_tsuribito.PNG,1360円,ジョウト地方,21ばんすいどう,4,,
169,ヤスアキ,つりびと,2b,クリスタル,ハリーセン,アズマオウ,,,,,02_tsuribito.PNG,1560円,ジョウト地方,32ばんどうろ,5,,
170,ミノル,つりびと,2b,クリスタル,アズマオウ,アズマオウ,ハリーセン,,,,02_tsuribito.PNG,1480円,ジョウト地方,42ばんどうろ,5,,
171,マキオ,つりびと,2c,ハートゴールド・ソウルシルバー,コイキング,コイキング,コイキング,コイキング,コイキング,コイキング,02_tsuribito.PNG,576円、576円、576円、576円,ジョウト地方,12ばんどうろ,11,,
172,ヒョウエ,つりびと,2c,ハートゴールド・ソウルシルバー,サニーゴ,サニーゴ,サニーゴ,サニーゴ,,,02_tsuribito.PNG,1216円,ジョウト地方,21ばんすいどう,11,,
173,ミノブ,つりびと,2c,ハートゴールド・ソウルシルバー,シードラ,,,,,,02_tsuribito.PNG,1344円,ジョウト地方,21ばんすいどう,11,,
174,ミツマサ,つりびと,2c,ハートゴールド・ソウルシルバー,ランターン,マンタイン,,,,,02_tsuribito.PNG,1280円,ジョウト地方,21ばんすいどう,11,,
175,ユウゴ,やまおとこ,2,金・銀,イワーク,,,,,,02_yamaotoko.PNG,352円,ジョウト地方,つながりのどうくつ,4,,
